AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
Wilshire,BURGLARY FROM VEHICLE,58,F,H,STREET,undefined,Invest Cont,17,Monday,0,Afternoon,0,48.0,7,0,6,-0.9659258262890683,-0.25881904510252063
N Hollywood,BURGLARY,47,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,12,Monday,0,Afternoon,0,288.0,9,0,8,1.2246467991473532e-16,-1.0
Olympic,INTIMATE PARTNER - SIMPLE ASSAULT,34,M,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,22,Saturday,1,Night,1,0.0,7,0,6,-0.5000000000000004,0.8660254037844384
Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,24,M,H,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,15,Tuesday,0,Afternoon,0,0.0,12,1,0,-0.7071067811865471,-0.7071067811865479
Van Nuys,THEFT OF IDENTITY,51,F,H,AUTOMATED TELLER MACHINE (ATM),undefined,Invest Cont,0,Saturday,1,Night,1,288.0,8,0,11,0.0,1.0
Topanga,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,M,H,PARKING LOT,undefined,Invest Cont,12,Friday,0,Afternoon,0,0.0,8,0,16,1.2246467991473532e-16,-1.0
Wilshire,THEFT OF IDENTITY,52,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,11,Tuesday,0,Morning,0,24888.0,5,0,12,0.258819045102521,-0.9659258262890682
West LA,BURGLARY FROM VEHICLE,22,M,W,STREET,undefined,Invest Cont,21,Tuesday,0,Evening,0,24.0,8,0,10,-0.7071067811865477,0.7071067811865474
Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,M,H,STREET,HAND GUN,Invest Cont,6,Monday,0,Morning,0,0.0,3,1,14,1.0,6.123233995736766e-17
N Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),50,F,O,GARAGE/CARPORT,undefined,Invest Cont,17,Thursday,0,Afternoon,0,48.0,8,0,8,-0.9659258262890683,-0.25881904510252063
