AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
West Valley,DOCUMENT FORGERY / STOLEN FELONY,0,M,W,CHECK CASHING*,undefined,Invest Cont,20,Friday,0,Evening,0,0.0,8,0,3,-0.8660254037844386,0.5000000000000001
Hollywood,ROBBERY,22,F,B,MTA - RED LINE - HOLLYWOOD/HIGHLAND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8,Sunday,1,Morning,0,0.0,12,1,6,0.8660254037844387,-0.4999999999999998
Central,BURGLARY FROM VEHICLE,38,F,W,STREET,undefined,Invest Cont,12,Saturday,1,Afternoon,0,432.0,9,0,9,1.2246467991473532e-16,-1.0
Northeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,M,H,STREET,UNKNOWN FIREARM,Invest Cont,8,Friday,0,Morning,0,0.0,12,1,14,0.8660254037844387,-0.4999999999999998
Southeast,BRANDISH WEAPON,49,M,H,AUTO REPAIR SHOP,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,19,Monday,0,Evening,0,0.0,9,0,13,-0.9659258262890684,0.2588190451025203
Wilshire,ROBBERY,43,F,W,PARKING LOT,HAND GUN,Adult Other,21,Friday,0,Evening,0,0.0,1,0,12,-0.7071067811865477,0.7071067811865474
Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",65,M,B,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,10,Sunday,1,Morning,0,0.0,1,0,9,0.49999999999999994,-0.8660254037844387
Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),37,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,20,Sunday,1,Evening,0,0.0,10,0,14,-0.8660254037844386,0.5000000000000001
Southeast,INTIMATE PARTNER - AGGRAVATED ASSAULT,20,F,B,SINGLE FAMILY DWELLING,SEMI-AUTOMATIC PISTOL,Invest Cont,21,Friday,0,Evening,0,24.0,11,0,13,-0.7071067811865477,0.7071067811865474
West LA,THEFT PLAIN - PETTY ($950 & UNDER),0,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,5,Saturday,1,Night,1,0.0,3,0,12,0.9659258262890683,0.25881904510252074
77th Street,BATTERY - SIMPLE ASSAULT,30,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1,Monday,0,Night,1,0.0,4,0,0,0.25881904510252074,0.9659258262890683
Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,F,B,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,7,Friday,0,Morning,0,0.0,5,0,13,0.9659258262890683,-0.25881904510252063
West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,43,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,16,Monday,0,Afternoon,0,0.0,4,0,7,-0.8660254037844385,-0.5000000000000004
Foothill,VIOLATION OF RESTRAINING ORDER,45,M,H,SINGLE FAMILY DWELLING,undefined,Adult Other,18,Wednesday,0,Evening,0,0.0,9,0,19,-1.0,-1.8369701987210297e-16
Hollywood,ROBBERY,29,F,H,STREET,HAND GUN,Invest Cont,20,Friday,0,Evening,0,0.0,6,0,6,-0.8660254037844386,0.5000000000000001
Southeast,ROBBERY,51,M,B,HOTEL,SEMI-AUTOMATIC PISTOL,Invest Cont,22,Wednesday,0,Night,1,24.0,4,1,13,-0.5000000000000004,0.8660254037844384
Hollywood,DOCUMENT FORGERY / STOLEN FELONY,60,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,15,Friday,0,Afternoon,0,1272.0,6,0,6,-0.7071067811865471,-0.7071067811865479
Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,21,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,5,Monday,0,Night,1,0.0,6,0,7,0.9659258262890683,0.25881904510252074
Foothill,THEFT OF IDENTITY,36,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,16,Wednesday,0,Afternoon,0,168.0,10,0,19,-0.8660254037844385,-0.5000000000000004
Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,O,DEPARTMENT STORE,undefined,Invest Cont,15,Thursday,0,Afternoon,0,48.0,1,0,9,-0.7071067811865471,-0.7071067811865479
Northeast,EXTORTION,51,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,14,Thursday,0,Afternoon,0,48.0,1,0,14,-0.4999999999999997,-0.8660254037844388
West LA,BURGLARY FROM VEHICLE,29,M,W,GARAGE/CARPORT,undefined,Invest Cont,21,Monday,0,Evening,0,48.0,8,0,10,-0.7071067811865477,0.7071067811865474
Rampart,THEFT OF IDENTITY,30,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,6,Wednesday,0,Morning,0,25872.0,1,0,9,1.0,6.123233995736766e-17
N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,O,STREET,undefined,Invest Cont,20,Monday,0,Evening,0,24.0,10,0,11,-0.8660254037844386,0.5000000000000001
Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,20,Saturday,1,Evening,0,0.0,6,0,12,-0.8660254037844386,0.5000000000000001
N Hollywood,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",43,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,20,Friday,0,Evening,0,240.0,1,0,8,-0.8660254037844386,0.5000000000000001
Topanga,OTHER MISCELLANEOUS CRIME,50,M,W,BANK,undefined,Invest Cont,9,Friday,0,Morning,0,0.0,2,0,16,0.7071067811865476,-0.7071067811865475
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,B,STREET,HAND GUN,Adult Arrest,14,Saturday,1,Afternoon,0,0.0,9,1,0,-0.4999999999999997,-0.8660254037844388
West LA,THEFT OF IDENTITY,75,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,16,Sunday,1,Afternoon,0,216.0,4,0,10,-0.8660254037844385,-0.5000000000000004
Newton,VANDALISM - MISDEAMEANOR ($399 OR UNDER),39,M,H,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,10,Sunday,1,Morning,0,0.0,5,0,9,0.49999999999999994,-0.8660254037844387
Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",33,M,H,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,0,Sunday,1,Night,1,0.0,7,0,0,0.0,1.0
Van Nuys,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40,M,O,SINGLE FAMILY DWELLING,undefined,Invest Cont,16,Saturday,1,Afternoon,0,48.0,12,0,11,-0.8660254037844385,-0.5000000000000004
Northeast,THEFT OF IDENTITY,36,F,H,OTHER PREMISE,undefined,Invest Cont,9,Friday,0,Morning,0,1320.0,4,0,14,0.7071067811865476,-0.7071067811865475
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,F,H,SINGLE FAMILY DWELLING,SEMI-AUTOMATIC PISTOL,Invest Cont,1,Wednesday,0,Night,1,0.0,1,0,0,0.25881904510252074,0.9659258262890683
77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT,22,F,B,YARD (RESIDENTIAL/BUSINESS),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,19,Monday,0,Evening,0,0.0,7,0,0,-0.9659258262890684,0.2588190451025203
Rampart,INTIMATE PARTNER - SIMPLE ASSAULT,46,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,13,Sunday,1,Afternoon,0,600.0,7,1,9,-0.2588190451025208,-0.9659258262890683
Mission,TRESPASSING,31,M,H,YARD (RESIDENTIAL/BUSINESS),undefined,Invest Cont,6,Tuesday,0,Morning,0,0.0,5,0,19,1.0,6.123233995736766e-17
Hollenbeck,BURGLARY FROM VEHICLE,34,F,W,STREET,undefined,Invest Cont,19,Monday,0,Evening,0,24.0,2,0,14,-0.9659258262890684,0.2588190451025203
Harbor,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),45,F,H,TOW YARD*,undefined,Invest Cont,13,Wednesday,0,Afternoon,0,3144.0,11,0,5,-0.2588190451025208,-0.9659258262890683
Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,F,H,SIDEWALK,MACE/PEPPER SPRAY,Invest Cont,9,Sunday,1,Morning,0,0.0,9,1,6,0.7071067811865476,-0.7071067811865475
Central,INTIMATE PARTNER - SIMPLE ASSAULT,23,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,11,Thursday,0,Morning,0,0.0,8,0,9,0.258819045102521,-0.9659258262890682
77th Street,"RAPE, FORCIBLE",13,F,B,SINGLE FAMILY DWELLING,HAND GUN,Invest Cont,14,Saturday,1,Afternoon,0,72.0,7,1,13,-0.4999999999999997,-0.8660254037844388
N Hollywood,BURGLARY,0,M,W,OTHER BUSINESS,undefined,Invest Cont,22,Friday,0,Night,1,24.0,4,0,8,-0.5000000000000004,0.8660254037844384
Hollywood,THEFT OF IDENTITY,33,F,B,SINGLE FAMILY DWELLING,undefined,Invest Cont,23,Friday,0,Night,1,24.0,7,0,6,-0.25881904510252157,0.9659258262890681
Foothill,THEFT OF IDENTITY,38,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,9,Friday,0,Morning,0,456.0,10,0,17,0.7071067811865476,-0.7071067811865475
Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",55,M,W,MOTEL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11,Sunday,1,Morning,0,0.0,5,0,5,0.258819045102521,-0.9659258262890682
West LA,OTHER ASSAULT,23,M,H,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,0,Monday,0,Night,1,0.0,1,0,10,0.0,1.0
Mission,VIOLATION OF RESTRAINING ORDER,63,F,H,SINGLE FAMILY DWELLING,undefined,Adult Other,9,Saturday,1,Morning,0,0.0,2,0,2,0.7071067811865476,-0.7071067811865475
N Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),23,M,O,DRIVEWAY,undefined,Invest Cont,19,Wednesday,0,Evening,0,24.0,3,0,19,-0.9659258262890684,0.2588190451025203
Topanga,BATTERY - SIMPLE ASSAULT,33,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,16,Wednesday,0,Afternoon,0,0.0,7,0,7,-0.8660254037844385,-0.5000000000000004
Mission,BATTERY - SIMPLE ASSAULT,40,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8,Wednesday,0,Morning,0,0.0,2,1,15,0.8660254037844387,-0.4999999999999998
Topanga,KIDNAPPING,52,F,B,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,21,Monday,0,Evening,0,0.0,9,0,16,-0.7071067811865477,0.7071067811865474
Southeast,BATTERY - SIMPLE ASSAULT,27,F,B,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,23,Thursday,0,Night,1,8760.0,12,1,13,-0.25881904510252157,0.9659258262890681
Olympic,CRIMINAL THREATS - NO WEAPON DISPLAYED,30,M,O,STREET,VERBAL THREAT,Adult Other,1,Saturday,1,Night,1,48.0,5,0,6,0.25881904510252074,0.9659258262890683
West LA,"THEFT, PERSON",39,M,W,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4,Wednesday,0,Night,1,0.0,7,1,12,0.8660254037844386,0.5000000000000001
Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),28,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,10,Monday,0,Morning,0,840.0,8,0,7,0.49999999999999994,-0.8660254037844387
Rampart,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",26,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,19,Sunday,1,Evening,0,0.0,8,0,9,-0.9659258262890684,0.2588190451025203
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),21,F,H,DRIVE THRU*,undefined,Invest Cont,0,Monday,0,Night,1,72.0,3,0,4,0.0,1.0
N Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,37,F,B,SINGLE FAMILY DWELLING,SCALDING LIQUID,Adult Other,12,Monday,0,Afternoon,0,8232.0,5,0,8,1.2246467991473532e-16,-1.0
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",66,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,12,Monday,0,Afternoon,0,24.0,4,0,9,1.2246467991473532e-16,-1.0
Van Nuys,INTIMATE PARTNER - SIMPLE ASSAULT,48,M,W,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,15,Friday,0,Afternoon,0,48.0,6,0,11,-0.7071067811865471,-0.7071067811865479
Topanga,CHILD NEGLECT (SEE 300 W.I.C.),0,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Adult Other,18,Monday,0,Evening,0,0.0,2,0,16,-1.0,-1.8369701987210297e-16
Van Nuys,BURGLARY FROM VEHICLE,46,M,H,STREET,undefined,Invest Cont,10,Friday,0,Morning,0,24.0,10,0,3,0.49999999999999994,-0.8660254037844387
Topanga,TRESPASSING,60,M,H,SINGLE FAMILY DWELLING,undefined,Adult Other,15,Saturday,1,Afternoon,0,0.0,11,0,7,-0.7071067811865471,-0.7071067811865479
Wilshire,BURGLARY FROM VEHICLE,51,M,H,STREET,undefined,Invest Cont,13,Monday,0,Afternoon,0,0.0,6,0,12,-0.2588190451025208,-0.9659258262890683
Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,B,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11,Friday,0,Morning,0,0.0,8,1,0,0.258819045102521,-0.9659258262890682
Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,W,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,12,Wednesday,0,Afternoon,0,0.0,10,1,9,1.2246467991473532e-16,-1.0
Hollenbeck,ARSON,55,M,B,OTHER/OUTSIDE,undefined,Invest Cont,4,Monday,0,Night,1,0.0,7,0,14,0.8660254037844386,0.5000000000000001
Pacific,BATTERY - SIMPLE ASSAULT,44,M,W,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,9,Friday,0,Morning,0,0.0,5,1,18,0.7071067811865476,-0.7071067811865475
Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",27,F,H,STREET,undefined,Invest Cont,20,Monday,0,Evening,0,24.0,11,0,14,-0.8660254037844386,0.5000000000000001
Northeast,DOCUMENT FORGERY / STOLEN FELONY,35,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,7,Thursday,0,Morning,0,0.0,2,0,14,0.9659258262890683,-0.25881904510252063
Southeast,CONTEMPT OF COURT,51,F,H,SIDEWALK,undefined,Invest Cont,12,Sunday,1,Afternoon,0,0.0,1,0,13,1.2246467991473532e-16,-1.0
77th Street,BRANDISH WEAPON,52,M,W,SIDEWALK,KNIFE WITH BLADE 6INCHES OR LESS,Adult Other,14,Monday,0,Afternoon,0,0.0,1,1,13,-0.4999999999999997,-0.8660254037844388
N Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),32,M,W,PARKING LOT,undefined,Invest Cont,16,Tuesday,0,Afternoon,0,0.0,8,0,8,-0.8660254037844385,-0.5000000000000004
Southwest,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,16,M,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6,Monday,0,Morning,0,0.0,6,0,12,1.0,6.123233995736766e-17
Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,48,F,W,MTA - BLUE LINE - 103RD/WATTS TOWERS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,20,Sunday,1,Evening,0,24.0,3,1,13,-0.8660254037844386,0.5000000000000001
Northeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,19,F,W,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,VERBAL THREAT,Invest Cont,2,Wednesday,0,Night,1,0.0,5,0,14,0.49999999999999994,0.8660254037844387
N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",16,F,H,STREET,undefined,Invest Cont,19,Wednesday,0,Evening,0,120.0,9,0,8,-0.9659258262890684,0.2588190451025203
Olympic,OTHER MISCELLANEOUS CRIME,21,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Adult Other,9,Saturday,1,Morning,0,48.0,11,0,9,0.7071067811865476,-0.7071067811865475
Newton,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,H,STREET,undefined,Adult Arrest,22,Wednesday,0,Night,1,48.0,5,1,9,-0.5000000000000004,0.8660254037844384
West LA,BURGLARY,54,F,W,NURSING/CONVALESCENT/RETIREMENT HOME,undefined,Adult Arrest,15,Thursday,0,Afternoon,0,0.0,1,0,10,-0.7071067811865471,-0.7071067811865479
Newton,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4,Monday,0,Night,1,0.0,8,1,0,0.8660254037844386,0.5000000000000001
Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,42,M,W,SINGLE FAMILY DWELLING,VERBAL THREAT,Adult Other,14,Saturday,1,Afternoon,0,744.0,7,0,5,-0.4999999999999997,-0.8660254037844388
Mission,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),79,M,H,STREET,undefined,Invest Cont,21,Monday,0,Evening,0,168.0,4,0,19,-0.7071067811865477,0.7071067811865474
Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,W,PARKING LOT,undefined,Adult Arrest,8,Sunday,1,Morning,0,0.0,3,0,14,0.8660254037844387,-0.4999999999999998
West Valley,THEFT OF IDENTITY,46,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,13,Sunday,1,Afternoon,0,1296.0,1,0,3,-0.2588190451025208,-0.9659258262890683
N Hollywood,THEFT OF IDENTITY,38,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,12,Saturday,1,Afternoon,0,552.0,7,0,8,1.2246467991473532e-16,-1.0
Southwest,THEFT PLAIN - PETTY ($950 & UNDER),35,M,B,SINGLE FAMILY DWELLING,undefined,Invest Cont,2,Thursday,0,Night,1,24.0,5,0,0,0.49999999999999994,0.8660254037844387
Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18,M,H,STREET,HAND GUN,Invest Cont,7,Sunday,1,Morning,0,0.0,11,0,12,0.9659258262890683,-0.25881904510252063
77th Street,THEFT PLAIN - PETTY ($950 & UNDER),22,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,12,Wednesday,0,Afternoon,0,0.0,10,1,0,1.2246467991473532e-16,-1.0
Rampart,THEFT OF IDENTITY,22,F,B,GAS STATION,undefined,Invest Cont,17,Thursday,0,Afternoon,0,24.0,12,0,6,-0.9659258262890683,-0.25881904510252063
Pacific,BATTERY - SIMPLE ASSAULT,29,F,W,BEACH,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7,Sunday,1,Morning,0,0.0,10,0,18,0.9659258262890683,-0.25881904510252063
Topanga,BURGLARY,0,M,W,OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,21,Wednesday,0,Evening,0,24.0,3,0,16,-0.7071067811865477,0.7071067811865474
Foothill,VIOLATION OF COURT ORDER,72,M,W,SINGLE FAMILY DWELLING,undefined,Adult Arrest,12,Saturday,1,Afternoon,0,0.0,12,0,17,1.2246467991473532e-16,-1.0
Northeast,PEEPING TOM,32,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,23,Friday,0,Night,1,456.0,9,0,6,-0.25881904510252157,0.9659258262890681
Hollenbeck,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,F,H,SINGLE FAMILY DWELLING,VERBAL THREAT,Adult Other,18,Tuesday,0,Evening,0,24.0,12,0,14,-1.0,-1.8369701987210297e-16
Hollenbeck,THEFT OF IDENTITY,27,M,H,OTHER RESIDENCE,undefined,Invest Cont,11,Tuesday,0,Morning,0,288.0,3,0,9,0.258819045102521,-0.9659258262890682
Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35,M,W,SIDEWALK,undefined,Invest Cont,21,Monday,0,Evening,0,960.0,2,0,6,-0.7071067811865477,0.7071067811865474
Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),58,M,W,STREET,undefined,Invest Cont,8,Wednesday,0,Morning,0,24.0,10,1,6,0.8660254037844387,-0.4999999999999998
Central,THEFT OF IDENTITY,38,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,6,Wednesday,0,Morning,0,0.0,2,0,9,1.0,6.123233995736766e-17
Topanga,"BUNCO, GRAND THEFT",19,M,W,STREET,undefined,Adult Other,14,Thursday,0,Afternoon,0,0.0,1,1,16,-0.4999999999999997,-0.8660254037844388
Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,B,SIDEWALK,HAND GUN,Adult Other,23,Thursday,0,Night,1,0.0,6,0,9,-0.25881904510252157,0.9659258262890681
Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,B,STREET,STICK,Invest Cont,13,Monday,0,Afternoon,0,0.0,4,0,12,-0.2588190451025208,-0.9659258262890683
Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,F,B,SIDEWALK,SEMI-AUTOMATIC PISTOL,Invest Cont,16,Saturday,1,Afternoon,0,0.0,8,0,13,-0.8660254037844385,-0.5000000000000004
Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",37,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,10,Wednesday,0,Morning,0,144.0,7,1,12,0.49999999999999994,-0.8660254037844387
N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),49,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,20,Sunday,1,Evening,0,48.0,4,0,8,-0.8660254037844386,0.5000000000000001
West Valley,THEFT OF IDENTITY,59,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,10,Monday,0,Morning,0,24.0,7,0,3,0.49999999999999994,-0.8660254037844387
West Valley,CRIMINAL THREATS - NO WEAPON DISPLAYED,67,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",VERBAL THREAT,Adult Other,1,Friday,0,Night,1,0.0,7,0,3,0.25881904510252074,0.9659258262890683
Newton,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),71,F,H,STREET,undefined,Invest Cont,5,Tuesday,0,Night,1,72.0,10,0,0,0.9659258262890683,0.25881904510252074
West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",73,M,O,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,11,Thursday,0,Morning,0,0.0,6,0,10,0.258819045102521,-0.9659258262890682
Devonshire,DOCUMENT FORGERY / STOLEN FELONY,0,M,W,OTHER BUSINESS,undefined,Invest Cont,12,Thursday,0,Afternoon,0,4176.0,3,0,7,1.2246467991473532e-16,-1.0
Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,39,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,14,Wednesday,0,Afternoon,0,0.0,2,0,13,-0.4999999999999997,-0.8660254037844388
Southwest,BRANDISH WEAPON,39,F,H,STREET,BLUNT INSTRUMENT,Invest Cont,13,Friday,0,Afternoon,0,0.0,6,0,0,-0.2588190451025208,-0.9659258262890683
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),35,F,O,LIBRARY,undefined,Invest Cont,23,Sunday,1,Night,1,24.0,5,0,9,-0.25881904510252157,0.9659258262890681
N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",33,F,W,STREET,undefined,Invest Cont,20,Thursday,0,Evening,0,48.0,1,0,8,-0.8660254037844386,0.5000000000000001
West Valley,BURGLARY,0,M,W,RESTAURANT/FAST FOOD,undefined,Invest Cont,0,Wednesday,0,Night,1,0.0,8,0,7,0.0,1.0
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),60,M,W,BEACH,undefined,Adult Other,11,Thursday,0,Morning,0,0.0,5,0,18,0.258819045102521,-0.9659258262890682
West LA,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",29,M,W,OTHER RESIDENCE,undefined,Adult Other,0,Saturday,1,Night,1,21120.0,5,0,10,0.0,1.0
Northeast,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",71,F,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,7,Tuesday,0,Morning,0,24.0,9,0,14,0.9659258262890683,-0.25881904510252063
West LA,THEFT PLAIN - PETTY ($950 & UNDER),36,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,21,Friday,0,Evening,0,168.0,2,0,10,-0.7071067811865477,0.7071067811865474
West Valley,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,DEPARTMENT STORE,undefined,Invest Cont,19,Sunday,1,Evening,0,0.0,7,0,3,-0.9659258262890684,0.2588190451025203
Hollywood,EXTORTION,63,F,H,STREET,undefined,Invest Cont,14,Wednesday,0,Afternoon,0,24.0,6,1,6,-0.4999999999999997,-0.8660254037844388
Central,OTHER MISCELLANEOUS CRIME,22,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,23,Monday,0,Night,1,0.0,5,0,9,-0.25881904510252157,0.9659258262890681
West Valley,CRIMINAL THREATS - NO WEAPON DISPLAYED,36,F,B,YARD (RESIDENTIAL/BUSINESS),VERBAL THREAT,Adult Other,21,Wednesday,0,Evening,0,0.0,1,0,3,-0.7071067811865477,0.7071067811865474
Van Nuys,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24,M,A,SINGLE FAMILY DWELLING,undefined,Invest Cont,12,Saturday,1,Afternoon,0,9432.0,10,0,11,1.2246467991473532e-16,-1.0
